start_ts,weather_conditions,duration_seconds
11/18/17 6:00,Good,1800
11/18/17 8:00,Bad,1620
11/4/17 14:00,Good,3240
11/4/17 18:00,Bad,2580
11/18/17 12:00,Bad,2606
11/4/17 12:00,Good,2460
11/18/17 14:00,Good,2825
11/11/17 10:00,Good,1622
11/11/17 12:00,Good,2015
11/11/17 8:00,Good,1417
11/4/17 12:00,Good,3420
11/11/17 15:00,Good,2280
11/4/17 6:00,Good,1282
11/11/17 15:00,Good,3094
11/4/17 16:00,Bad,3180
11/4/17 12:00,Good,2520
11/25/17 3:00,Good,1374
11/11/17 16:00,Good,2220
11/11/17 8:00,Good,1140
11/18/17 14:00,Good,2757
11/4/17 15:00,Good,3420
11/18/17 10:00,Bad,1260
11/11/17 16:00,Good,2213
11/11/17 9:00,Good,1344
11/11/17 7:00,Good,1243
11/11/17 12:00,Good,1794
11/11/17 15:00,Good,2700
11/11/17 8:00,Good,1320
11/4/17 10:00,Good,1620
11/4/17 14:00,Good,3460
11/4/17 16:00,Bad,3000
11/4/17 16:00,Bad,3300
11/4/17 12:00,Good,2760
11/11/17 14:00,Good,2340
11/25/17 14:00,Good,6420
11/11/17 10:00,Good,1200
11/25/17 18:00,Good,2345
11/4/17 20:00,Good,1860
11/11/17 12:00,Good,1620
11/11/17 8:00,Good,1740
11/4/17 16:00,Bad,3540
11/4/17 8:00,Good,1260
11/11/17 4:00,Good,1140
11/18/17 7:00,Bad,1200
11/4/17 6:00,Good,1472
11/11/17 6:00,Good,1280
11/18/17 12:00,Bad,2877
11/11/17 10:00,Good,1412
11/25/17 8:00,Good,1260
11/4/17 6:00,Good,1260
11/11/17 15:00,Good,2196
11/18/17 14:00,Good,3480
11/11/17 14:00,Good,2400
11/18/17 7:00,Bad,1608
11/25/17 16:00,Good,2091
11/4/17 18:00,Bad,2332
11/11/17 14:00,Good,2100
11/11/17 12:00,Good,1980
11/25/17 16:00,Good,2203
11/11/17 14:00,Good,2040
11/18/17 18:00,Good,2460
11/11/17 13:00,Good,4380
11/25/17 23:00,Good,1500
11/11/17 18:00,Good,2675
11/4/17 13:00,Good,2640
11/18/17 10:00,Bad,2333
11/18/17 14:00,Good,3172
11/4/17 17:00,Bad,2340
11/11/17 10:00,Good,1516
11/4/17 14:00,Good,3840
11/4/17 8:00,Good,1260
11/11/17 6:00,Good,1440
11/11/17 8:00,Good,1260
11/18/17 12:00,Bad,2700
11/18/17 5:00,Good,1320
11/11/17 7:00,Good,1355
11/11/17 10:00,Good,1465
11/11/17 12:00,Good,1933
11/11/17 15:00,Good,2010
11/4/17 8:00,Good,1740
11/11/17 9:00,Good,1620
11/11/17 10:00,Good,1260
11/11/17 13:00,Good,2040
11/4/17 15:00,Good,3300
11/11/17 10:00,Good,1380
11/4/17 9:00,Good,1594
11/11/17 13:00,Good,2256
11/18/17 17:00,Bad,3022
11/4/17 12:00,Good,3540
11/4/17 17:00,Bad,2580
11/4/17 14:00,Good,3840
11/4/17 16:00,Bad,2765
11/11/17 15:00,Good,2540
11/4/17 16:00,Bad,3058
11/11/17 16:00,Good,2400
11/11/17 16:00,Good,2400
11/4/17 6:00,Good,1267
11/4/17 6:00,Good,1267
11/4/17 17:00,Bad,2151
11/4/17 17:00,Bad,2151
11/4/17 10:00,Good,2550
11/11/17 9:00,Good,1260
11/11/17 6:00,Good,1320
11/11/17 16:00,Good,2640
11/11/17 11:00,Good,1440
11/25/17 17:00,Good,2700
11/18/17 15:00,Good,2880
11/4/17 21:00,Good,1800
11/4/17 12:00,Good,2580
11/4/17 16:00,Bad,3420
11/11/17 6:00,Good,1500
11/4/17 18:00,Bad,2172
11/11/17 10:00,Good,1560
11/11/17 10:00,Good,1920
11/18/17 12:00,Bad,2640
11/18/17 12:00,Bad,2640
11/11/17 14:00,Good,2460
11/11/17 7:00,Good,1260
11/4/17 15:00,Good,3360
11/4/17 19:00,Good,2400
11/4/17 10:00,Good,1680
11/4/17 12:00,Good,2880
11/4/17 11:00,Good,2963
11/18/17 11:00,Good,2178
11/4/17 11:00,Good,2963
11/18/17 14:00,Good,3540
11/11/17 17:00,Good,2475
11/4/17 12:00,Good,2575
11/11/17 8:00,Good,1063
11/11/17 12:00,Good,1747
11/18/17 8:00,Bad,1417
11/18/17 12:00,Bad,2175
11/18/17 10:00,Bad,1560
11/4/17 20:00,Good,2220
11/18/17 12:00,Bad,3600
11/11/17 10:00,Good,1200
11/25/17 15:00,Good,2356
11/4/17 9:00,Good,1934
11/4/17 11:00,Good,2155
11/11/17 11:00,Good,1211
11/11/17 6:00,Good,1260
11/4/17 15:00,Good,3214
11/11/17 13:00,Good,2693
11/4/17 15:00,Good,3335
11/18/17 18:00,Good,2520
11/11/17 13:00,Good,2280
11/11/17 11:00,Good,1683
11/18/17 13:00,Bad,3120
11/11/17 10:00,Good,1466
11/25/17 14:00,Good,1828
11/4/17 10:00,Good,2522
11/4/17 14:00,Good,2948
11/25/17 10:00,Good,1080
11/25/17 18:00,Good,2493
11/4/17 19:00,Good,2460
11/11/17 16:00,Good,2220
11/4/17 4:00,Good,1595
11/18/17 12:00,Bad,2340
11/18/17 7:00,Bad,1182
11/18/17 6:00,Good,1566
11/18/17 8:00,Bad,1332
11/4/17 16:00,Bad,3180
11/4/17 18:00,Bad,2220
11/4/17 9:00,Good,1843
11/25/17 13:00,Good,1737
11/18/17 13:00,Bad,3420
11/11/17 6:00,Good,1586
11/4/17 6:00,Good,1532
11/4/17 16:00,Bad,2820
11/18/17 15:00,Good,3240
11/11/17 14:00,Good,2400
11/11/17 17:00,Good,3180
11/11/17 11:00,Good,1620
11/25/17 15:00,Good,2195
